fragment_index,fragment_hash,kind,source,candidate_tag,candidate_model,candidate_exact_stable,candidate_distinct_tags,labeler_1,labeler_2,adjudicated_label,final_label,final_source,label_state
0,d0fa2668f56774de,session,codex-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
1,1a8406ffe6996310,session,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
2,be4df403b0c7ac3e,session,codex,rootpidcount,3b,false,2,adequate,adequate,,adequate,consensus,final
3,487be4bfe9a8a8a7,session,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
4,94272610fcaf739e,session,codex,paperagentfl,3b,true,1,adequate,adequate,,adequate,consensus,final
5,49cef6c13b5c6c0d,session,codex,readdocs,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
6,e72169a93bc158d9,session,codex,countlines,3b,true,1,adequate,adequate,,adequate,consensus,final
7,c864dc01cf004b03,session,codex,cmt,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
8,be4df403b0c7ac3e,session,codex,rootpidcount,3b,false,2,adequate,adequate,,adequate,consensus,final
9,1e9714568f9b5b9c,session,codex,claimid,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
10,c67147a0af7f802c,session,codex,benchmarks,3b,true,1,adequate,adequate,,adequate,consensus,final
11,49cef6c13b5c6c0d,session,codex,readdocs,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
12,c864dc01cf004b03,session,codex,cmt,3b,true,1,adequate,adequate,,adequate,consensus,final
13,be4df403b0c7ac3e,session,codex,rootpidcount,3b,false,2,generic_noisy,generic_noisy,,generic_noisy,consensus,final
14,1e9714568f9b5b9c,session,codex,claimid,3b,true,1,adequate,adequate,,adequate,consensus,final
15,c67147a0af7f802c,session,codex,benchmarks,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
16,49cef6c13b5c6c0d,session,codex,readdocs,3b,true,1,adequate,adequate,,adequate,consensus,final
17,12d51a469e9fb1cc,session,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
18,2f81cd25e86cff1a,session,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
19,5a3d760b786e6207,session,codex,jsonok,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
20,c67147a0af7f802c,session,codex,benchmarks,3b,true,1,adequate,adequate,,adequate,consensus,final
21,c864dc01cf004b03,session,codex,cmt,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
22,be4df403b0c7ac3e,session,codex,rootpidcount,3b,false,2,adequate,adequate,,adequate,consensus,final
23,1e9714568f9b5b9c,session,codex,claimid,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
24,94272610fcaf739e,session,codex,paperagentfl,3b,true,1,adequate,adequate,,adequate,consensus,final
25,49cef6c13b5c6c0d,session,codex,readdocs,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
26,77d38998ed0f73f3,session,codex,nextaction,3b,true,1,adequate,adequate,,adequate,consensus,final
27,77d38998ed0f73f3,session,codex,nextaction,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
28,7b8bd2cd6bed837b,session,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
29,e0a2e8e5ad9a7cd2,session,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
30,12da9df6fdff1ff5,session,codex,count,3b,true,1,adequate,adequate,,adequate,consensus,final
31,bb9df0809bf19e0f,session,codex,rdocboundary,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
32,79a3ae5b042da2cd,session,codex,criterion,3b,false,2,adequate,adequate,,adequate,consensus,final
33,bb9df0809bf19e0f,session,codex,rdocboundary,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
34,79a3ae5b042da2cd,session,codex,criterion,3b,false,2,adequate,adequate,,adequate,consensus,final
35,952843758c65497f,session,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
36,12da9df6fdff1ff5,session,codex,count,3b,true,1,adequate,adequate,,adequate,consensus,final
37,e0a2e8e5ad9a7cd2,session,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
38,cf7961d166614941,session,codex-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
39,a53892e1087bc9d1,session,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
40,be5a0624f27b45eb,session,codex-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
41,c0b8391628b8583c,session,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
42,343ebf6f006ed5fb,session,codex,review,3b,true,1,adequate,adequate,,adequate,consensus,final
43,6d500eafc8854f6b,session,claude-subagent,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
44,606149bb871e6dc9,session,claude-subagent,cli,3b,true,1,adequate,adequate,,adequate,consensus,final
45,76497ea262215249,session,claude,agentsight,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
46,7864512ba9274a08,session,claude,rawsslok,3b,true,1,adequate,adequate,,adequate,consensus,final
47,02c9563531a0b50b,session,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
48,9c8d391bf7c9ade5,session,claude,confirmed,3b,true,1,adequate,adequate,,adequate,consensus,final
49,b648e60d76e49a5c,session,codex,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
50,9e7c0e2d10eef179,session,claude,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
51,d7d0126132f882c0,session,claude,hellorepo,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
52,37fce4f39d903f0e,session,claude-subagent,docs,3b,false,2,adequate,adequate,,adequate,consensus,final
53,fc1bed4d89a993f2,session,claude-subagent,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
54,22501c8fceecd09e,session,claude-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
55,0108b2d0728771d6,session,claude,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
56,af8e08fe3a1add0e,session,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
57,42424d4e8973be3d,session,claude-subagent,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
58,88f8b0d1cade2a41,session,claude-subagent,docu,3b,true,1,adequate,adequate,,adequate,consensus,final
59,b4ca7b97aff51e27,session,claude-subagent,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
60,a03b22667a2490af,session,claude-subagent,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
61,faba06b199fba963,session,codex-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
62,97b684446b59a0c0,session,claude-subagent,read,3b,true,1,adequate,adequate,,adequate,consensus,final
63,84d7af4b7407a328,session,claude-subagent,design,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
64,d35a24c23afa6b37,session,claude,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
65,01f041a93f0060dd,session,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
66,4253fe1ffc874f09,session,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
67,07da3df4777c0e1a,session,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
68,37c64fef0a3005b6,session,claude-subagent,readcollect,3b,true,1,adequate,adequate,,adequate,consensus,final
69,103f0f10dfc2c07a,session,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
70,596c14be0589a2f7,session,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
71,012907cc1f6f66e9,session,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
