check,status,expected,evidence
evaluation_has_four_paper_facing_blocks,pass,pass,docs/evaluation.md has the paper-facing E1-E4 table with three empirical blocks plus one replayability/overhead block.
claim_setup_has_four_paper_facing_blocks,pass,pass,Chinese claim setup separates E1-E4 from the run/artifact provenance map.
english_results_use_e1_e4_subsections,pass,pass,English paper has E1-E4 result subsections.
chinese_results_use_e1_e4_subsections,pass,pass,Chinese paper has E1-E4 result subsections.
legacy_rq_structure_removed_from_papers,pass,pass,"No paper-facing RQ subsection, RQ-number token, or seven-research-question framing remains."
chinese_main_result_table_is_core_experiment_table,pass,pass,Chinese tab:results is now a four-row paper-facing block table.
r_runs_are_provenance_not_main_structure,pass,pass,"Evaluation ledger, claim setup, Chinese paper, and English paper state that R runs are provenance."
r358_is_e3_mechanism_not_fifth_experiment,pass,pass,R358 is described as an E3 mechanism/actionability ablation and no E5 core experiment exists.
r358_artifact_numbers_match_paper_tokens,pass,pass,R358 report/run-result pass and paper-facing texts include the AP/group tokens.
r358_counterpoints_are_visible,pass,pass,R358 AP/group improvements and work counterpoints are both represented.
two_abstraction_boundary_preserved,pass,pass,All paper-facing texts keep operation and operation stack as the core abstractions.
must_not_claim_guardrails_visible,pass,pass,The four-experiment framing preserves must-not-claim guardrails.
source_policy_visible,pass,pass,The paper keeps the no-new-dataset/no-resync source policy visible.
